"year","education_level","estimate"
2005,"Less than high school",18435
2005,"High school graduate",25829
2005,"Some college or associate's",31566
2005,"Bachelor's degree",43954
2005,"Graduate or professional degree",57585
2006,"Less than high school",18641
2006,"High school graduate",26123
2006,"Some college or associate's",31936
2006,"Bachelor's degree",45221
2006,"Graduate or professional degree",59804
2007,"Less than high school",19405
2007,"High school graduate",26894
2007,"Some college or associate's",32874
2007,"Bachelor's degree",46805
2007,"Graduate or professional degree",61287
2008,"Less than high school",20268
2008,"High school graduate",27479
2008,"Some college or associate's",33447
2008,"Bachelor's degree",47094
2008,"Graduate or professional degree",62179
2009,"Less than high school",18432
2009,"High school graduate",26140
2009,"Some college or associate's",31906
2009,"Bachelor's degree",47510
2009,"Graduate or professional degree",62313
2010,"Less than high school",18413
2010,"High school graduate",26349
2010,"Some college or associate's",31928
2010,"Bachelor's degree",47422
2010,"Graduate or professional degree",62618
2011,"Less than high school",18794
2011,"High school graduate",26699
2011,"Some college or associate's",32321
2011,"Bachelor's degree",48309
2011,"Graduate or professional degree",64322
2012,"Less than high school",19404
2012,"High school graduate",27024
2012,"Some college or associate's",32401
2012,"Bachelor's degree",49157
2012,"Graduate or professional degree",65164
2013,"Less than high school",20149
2013,"High school graduate",27350
2013,"Some college or associate's",32387
2013,"Bachelor's degree",50050
2013,"Graduate or professional degree",65565
2014,"Less than high school",20542
2014,"High school graduate",27809
2014,"Some college or associate's",33175
2014,"Bachelor's degree",50450
2014,"Graduate or professional degree",66175
2015,"Less than high school",21320
2015,"High school graduate",29004
2015,"Some college or associate's",34377
2015,"Bachelor's degree",50930
2015,"Graduate or professional degree",67286
2016,"Less than high school",21839
2016,"High school graduate",29969
2016,"Some college or associate's",35406
2016,"Bachelor's degree",51676
2016,"Graduate or professional degree",70121
2017,"Less than high school",23031
2017,"High school graduate",30624
2017,"Some college or associate's",36190
2017,"Bachelor's degree",52484
2017,"Graduate or professional degree",71097
2018,"Less than high school",24530
2018,"High school graduate",31269
2018,"Some college or associate's",36854
2018,"Bachelor's degree",54628
2018,"Graduate or professional degree",72492
2019,"Less than high school",25876
2019,"High school graduate",31956
2019,"Some college or associate's",38125
2019,"Bachelor's degree",56344
2019,"Graduate or professional degree",75495
2021,"Less than high school",28085
2021,"High school graduate",35019
2021,"Some college or associate's",40934
2021,"Bachelor's degree",61073
2021,"Graduate or professional degree",80077
2022,"Less than high school",30788
2022,"High school graduate",37290
2022,"Some college or associate's",44080
2022,"Bachelor's degree",64911
2022,"Graduate or professional degree",84118
2023,"Less than high school",31660
2023,"High school graduate",39428
2023,"Some college or associate's",45924
2023,"Bachelor's degree",67256
2023,"Graduate or professional degree",86524
